Title,Link,Description,Image URL
Lenovo ThinkCentre E73,https://chicago.craigslist.org/nch/sys/d/skokie-lenovo-thinkcentre-e73/7691741703.html,"Lenovo ThinkCentre E73


NO SHIPPING, NO CASHIER CHECKS OR PAYPAL
LOCAL PICKUP ONLY

Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz (4 virtual). 500GB, Intel Core i5 4th Gen., 3.3GHz, 8GB

Intel HD Graphics 4600 graphics processor.


Windows 10 pro


Call show contact info

NO SHIPPING, NO CASHIER CHECKS OR PAYPAL
LOCAL PICKUP ONLY",https://images.craigslist.org/00505_jwTsE6YYQAQ_09G09G_600x450.jpg
Brother Printer Fax Copier Scanner,https://chicago.craigslist.org/wcl/sys/d/wheaton-brother-printer-fax-copier/7691729222.html,"Brother MFC-J450DW Wireless Printer - with new ink cartridges

Low print usage.",https://images.craigslist.org/00z0z_3iJRnTTmOUW_0pO0jm_600x450.jpg
ASUS Z97I-PLUS Intel i7-4790 3.6GHz 16GB 120GB Samsung SSD Mini-ITX PC,https://chicago.craigslist.org/nwc/sys/d/wauconda-asus-z97i-plus-intel-ghz-16gb/7691721798.html,"Mini-ITX PC Computer in case with 550W Power Supply.

ASUS Z97I-PLUS Motherboard

Intel i7-4790 3.6GHz CPU

16GB RAM

120GB Samsung SSD

NO OS",https://images.craigslist.org/01111_l6px3VMsSAp_0pN0jh_600x450.jpg
Apple MacBook Pro 15” 2016 TouchBar 2.9Ghz QuadCore I7 16GB RAM 500GB,https://chicago.craigslist.org/nwc/sys/d/elmhurst-apple-macbook-pro-touchbar/7691706269.html,"Hi
I am selling Apple Macbook Pro, 15”, 2016, TouchBar. I factory reset it, so it's like new, and all accounts and data is removed. It is fully functional. You can come and test it out, no issues. It is in excellent condition. This is perfect for Photo editing, Video Editing, Audio recording, graphic designing as well for students, work, and home.
Specs:
MacOS Monterey 12.6
2.9 GHz Intel Core i7 processor
16 GB Memory LPDDR3
500 GB SSD
Intel HD Graphics 530 1536MB Graphics
AMD Radeon Pro 460 4 GB VRAM
WiFi// FaceTime// iMessages
Four Thunderbolt 3 ports// 3.5mm headphone port
If you have any questions you can contact me. Thank you",https://images.craigslist.org/00N0N_1f13o0LvlxR_0x20qw_600x450.jpg
HP EliteBook 14” 840 G3 2.5Ghz i5-6300u 16GB RAM 256GB SSD Windows 10,https://chicago.craigslist.org/nwc/sys/d/elmhurst-hp-elitebook-g3-25ghz-i5-6300u/7691707789.html,"Hello,
I am selling HP EliteBook, 840 G3, 14”, Windows 10 Pro Laptop. I factory reset it so it's like new and all accounts and data is removed.
It is fully functional you can come and test it out, no issues, runs great. It is in excellent condition. It will come with the charger. This is perfect for students, work, and businesses.
Specification:
Windows 10 Pro
2.5 GHz Intel Core i5-6300U Processor
16 GB RAM
256 GB SSD
Intel HD Graphics 520
1920 x 1080 Resolution
WiFi// Webcam// Microphone
Two USB 3.0 Ports// VGA Port// Display Port// USB C Port// Sim Card Slot// SD Card Slot//Ethernet Port// Headphone Port.
If you have any questions. Please contact me. Thank you.",https://images.craigslist.org/00V0V_5mpeE7r9LfZ_0uS0t2_600x450.jpg
APPLE IMAC 27” 5K 2019 3.7GHz 6CORE i5 16GB RAM 500GB Radeon Pro 580X,https://chicago.craigslist.org/nwc/sys/d/elmhurst-apple-imac-27-5k-ghz-6core-i5/7691704796.html,"Hello, 
I am selling Apple iMac 27"", 2019, 5K, Retina Display, Thin, All In One Mac. I factory reset it so it's like new and all accounts and data is removed. This is a perfect unit for students, work, business, Video editing, Photo editing, Audio Recording, and Graphic Designing. This unit is fully functional. You will get to try it out before purchasing, no issues. Good Condition
There is a slight bent on the iMac stand please see pics it’s just cosmetic ware
Specs: 
MacOS Ventura 13.0
3.7 GHz 6-Core Intel Core i5 Processor 
16 GB RAM DDR4
Radeon Pro 580X 8GB VRAM
500 GB Storage
5120 x 2880 Resolution
Bluetooth// WiFi// iMessages// FaceTime
4 USB Ports// Ethernet Port//Headphone port// Two Thunderbolt 3 Ports//SD Card Slot.
If you have any questions. Please contact me. Thank you",https://images.craigslist.org/00O0O_kPWsiMSFbUg_0so0t2_600x450.jpg
Sony boombox,https://chicago.craigslist.org/nch/sys/d/chicago-sony-boombox/7691684147.html,"Sony boombox
#ZS-BTG 900
20 watts through a subwoofer, 2 mid-rangers & 2 tweeters delivering impressive sound.
Cool constant lighting or synced to the music.",https://map0.craigslist.org/t09/13/2099/3041.png
Apple IMAC 2021 M1,https://chicago.craigslist.org/wcl/sys/d/naperville-apple-imac-2021-m1/7691664671.html,"Apple Refurbished IMAC 2021 - very good condition. Blue color.


8 Core , 16GB M1 Processor.",https://images.craigslist.org/00f0f_bEqsbp5P32v_0CI0t2_600x450.jpg
two computer cases + 2 CD/r,https://chicago.craigslist.org/chc/sys/d/chicago-two-computer-cases-cd/7691652184.html,"Two computer cases, I'm the original owner , no modifications , like new , selling because I updated to more expensive ones,comes with 2 CD writers ...selling ""as is"" , no warranty ... no checks , etc... CASH ONLY $95 or best offer ....",https://images.craigslist.org/00c0c_44oyO3VBqeH_0CI0lM_600x450.jpg
Dell Precision T3500 workstation desktop computer PC Xeon,https://chicago.craigslist.org/wcl/sys/d/westmont-dell-precision-t3500/7691641252.html,"This is a Dell Precision T3500 workstation desktop computer. It comes with a power cable and a windows 7 key sticker on top. I've installed a fresh copy of Windows 10 that you should be able to activate with the Windows 7 key by typing it in when prompted during setup.

Specs:
Intel Xeon W3570
Nvidia Quadro NVS 295
160gb Seagate Barracuda 3.5"" HDD
20gb ddr3 ram of various frequencies (system sees all reporting as 1333 but if you look at the sticks each of the 3 pairs are different)
A built in SD card reader
DVD + DVD/RW drives
525W PSU

Known defect:
DIMM1 ram slot ocassionally doesn't work. This manifests itself as one of two errors that sometimes happen on boot. One error is something along the lines of ""dimm1 not recognized"" and the other is ""system memory has changed"" when it recognizes that slot again. Changing ram around has not fixed this so I'm sure its the slot going bad but since it sometimes works I've seen no need to remove the stick.",https://images.craigslist.org/00J0J_hwlJQlHQZ8B_0t20CI_600x450.jpg
Dell Precision T5400 workstation desktop computer pc dual Xeon,https://chicago.craigslist.org/wcl/sys/d/westmont-dell-precision-t5400/7691635055.html,"This is a Dell Precision T5400 workstation desktop computer. It comes with a power cable and has a Windows Vista license sticker on top but I have no install media to provide. Due to this lack of install media I've put Linux Mint on this computer instead.

Specs:
Dual Intel Xeon x5460
Nvidia Quadro FX 1700
32gb 667mhz ddr2 ram (currently only showing up as 16gb in system and I'm not sure why)
320gb WD 3.5"" HDD
FireWire pcie card
DVD + DVD/RW drives
875W PSU

Known defects:
Half of the 32gb of ram not showing in system but is visible in BIOS
One of the 3.5"" hard drive plastic drive sleds is missing
Two of the rear metal plates that fill in empty pcie slots are missing",https://images.craigslist.org/00i0i_fLnKnhjZAnZ_0t20CI_600x450.jpg
"Simbans TangoTab - 10"" Tablet w/Keyboard",https://chicago.craigslist.org/chc/sys/d/chicago-simbans-tangotab-10-tablet/7691601429.html,"Hello. Seeking to trade or sell my 10"" tablet, which has a detachable keyboard. For trades, I am seeking a computer (preferably a notebook or all-in-one, or maybe even a desktop, but not a Chromebook or other tablet) that is of equal value.

Excellent condition. Prefer to use a notebook rather than this. Looks just like the stock photo, but will post the actual photo later or upon request.

Description (below) is from https://www.simbans.com/products/tango-detachable-keyboard


3 BONUS ITEMS and PRE-INSTALLED OFFICE APPS INCLUDED - A high-quality 10 Inch Android tablet comes with a detachable keyboard, a universal power adaptor and a pre-applied screen protector included in the box. Word, Excel and WPS office pre-installed for all your productivity needs for school or office work.
LOTS of CONNECTIVITY PORTS - The tablet has MORE connectivity ports than any other tablet in the market. Your connectivity options are DUAL BAND WiFi (2.4 GHz or 5 GHz), Full USB-A, Micro-USB, Mini-HDMI, Bluetooth, Inbuilt GPS and Headphone Jack. Connect your tablet to the TV via its mini-HDMI port and view your movies on the large screen.

FASTER RAM and BIGGER STORAGE - This is the NEWEST version of TangoTab with 4GB of DDR4 RAM which is 50% faster than others. 64GB of storage makes it easy for you to store all your important files, songs, pictures on the tablet. The storage can be expended further with 128GB of micro-SD card.

HIGH RESOLUTION SCREEN - The IPS HD screen resolution makes pictures and videos crystal clear. A certified version of Play Store is pre-installed for you to download all your favourite apps like Netflix, Zoom, Facebook, Spotify etc.",https://images.craigslist.org/00i0i_3BZit5n8SRl_0oc0np_600x450.jpg
HyperDrive GEN2 18 in 1 USB-C Docking Station,https://chicago.craigslist.org/wcl/sys/d/lombard-hyperdrive-gen2-18-in-usb/7691602441.html,"For Macbook, PC and Chromebook users looking to maximize connectivity.

180W Power supply

USB-A 10 Gas x 2
USB-A 2.0 x 2
USB-A QC3.0 18w
optical tousling audio
Digital Coaxial Audio
3.5 mm Audio Jack
Gigabit Ethernet
HDMI 4k60Hz x 2
DP 4k60Hz
VGA
MIcro SD UHS-II
DC Power Port
USB-C PD 100W
USB-C 10Gbs",https://images.craigslist.org/00g0g_7On8G4eF7xZ_0ww0oo_600x450.jpg
"15.6” Dell Latitude 5540 with i7 CPU, SSD plus HDD and dedicated Video Card *H",https://chicago.craigslist.org/nch/sys/d/glenview-156-dell-latitude-5540-with-i7/7681520118.html,"Excellent condition 15.6” Dell laptop

Dell Latitude E5540
Can be used for games, office work,
Comes with Windows 11 Pro installed

i7 - 4600u running at 2.70 GHz
8 Gb RAM
128 Gb SSD plus 500 Gb HDD
Dedicated Video Card with 2 Gb Video RAM
(nvidia GeForce GT 720M)

15.6” Screen
Very good Battery life
3xUSB
HDMI & VGA
DVD RW
Bluetooth
SD Card reader
Webcam
WiFi
Comes with charger
Pick-up in Glenview

Thank you!",https://images.craigslist.org/00o0o_hnw5LSkxp1y_0t20CI_600x450.jpg
"Dell Inspiron 5748 17.3"" Laptop",https://chicago.craigslist.org/nwc/sys/d/elgin-dell-inspiron-laptop/7691556951.html,"Dell Inspiron 5748 17.3"" Laptop

$120 Cash and Carry

Fully Functional
Intel i3-4030U 1.9 GHz Processor
8GB Ram
250GB Samsung 860 EVO SSD Hard Drive
DVD+/-RW drive
Intel HD Graphics - 1600x900 Resolution Non-Touch Screen
1280 x 720 (HD) Webcam, Built-in Microphone
802.11 b/g/n Wi-Fi
Bluetooth 4.0
Fast Ethernet
2 x USB 2.0
1x USB 3.0
HDMI Output
Card Reader
Dell 130w Power Supply
Windows 10 Pro

Dimensions:
11.20 x 16.30 x 1.20 Inches",https://images.craigslist.org/00B0B_8pRbOzPTUHz_0mF0t2_600x450.jpg
Apple iPad 2nd Gen 16GB Black Wi-Fi DISPLAY MODEL from gamestop buyout,https://chicago.craigslist.org/wcl/sys/d/aurora-apple-ipad-2nd-gen-16gb-black-wi/7681668463.html,"FOR SALE BY OWNER

RETAIL : $499.00 NOW : $49 DISPLAY MODEL OPEN BOX

AT $59 THIS IS A GREAT GIFT OR UNIT FOR DAYCARE OR TO BUY A FEW FOR THE COMPANY EMPLOYEES. EVERYTHING RUNS ON THESE UNITS, PLUS YOU CAN UPDATE TO THE LATEST OS, ITS APPLE ITS EASY.


ARE YOU READY FOR SCHOOL, OR WORK, IN THE OFFICE? OR STARTING YOUR OWN BUSINESS, DONT SPEND HUNDREDS OF DOLLARS ON APPLE, SAVE SOME MONEY DURING THESE TIMES, WE BOUGHT A LOCKER LOT BUYOUT, GAMESTOP PRODUCTS NOW LIQUIDATING.

Product details

The all-new thinner and lighter design makes the Apple iPad 2, 16GB with Wi-Fi even more comfortable to hold. It's even more powerful with the dual-core A5 chip, yet has the same 10 hours of battery life. With two cameras, you can make FaceTime video calls, record HD video, and put a twist on your snapshots in Photo Booth.
9.7-inch (diagonal) LED-backlit display with IPS technology
Dual-core A5 chip
Front and back cameras
16GB of memory
Up to 10 hours of battery life
802.11a/b/g/n Wi-Fi
Bluetooth 2.1 EDR technology

Brand
Apple

Manufacturer Part Number
MC769LL/A

Operating System
Apple iOS

Assembled Product Weight
1.35 lb

Manufacturer
Apple

Color
Black

Assembled Product Dimensions (L x W x H)
9.50 x 7.31 x 0.34 Inches




FOR SALE BY OWNER
ITM: 000-0000DS
NATIONALGLOBALSTORE.COM
‪ show contact info ‬",https://map5.craigslist.org/t09/13/2087/3048.png
"Apple iMac ""Core i7"" 3.4 27"" (Mid-2011) 16GB 128GB/3TB",https://chicago.craigslist.org/chc/sys/d/chicago-apple-imac-core-mid-gb-128gb-3tb/7681491849.html,"🚀 Unleash the Power! 🚀

Are you ready to elevate your computing experience? Presenting a true powerhouse – the Apple iMac 27"" (Mid-2011) with an impressive Core i7 processor, a whopping 16GB of RAM, and the perfect blend of storage with a massive 3TB HDD and a lightning-fast 128GB SSD. This sleek and stylish iMac is not just a computer; it's a command center for creativity, productivity, and seamless multitasking.

⚙️ Performance Matters:
Powered by the formidable Core i7 processor, this iMac handles everything from resource-intensive tasks to smooth multitasking with ease. Whether you're a creative professional working on graphic design, video editing, or a gamer seeking immersive experiences, the iMac's processing prowess won't disappoint.

💡 Vivid Display:
Immerse yourself in a crystal-clear, 27-inch display that boasts vibrant colors and sharp details. Whether you're editing photos, watching movies, or browsing the web, the iMac's stunning resolution ensures a visual feast every time.

💽 Dual Drive Setup - Speed and Storage:
This iMac is equipped with not one but two drives for unparalleled performance. The spacious 3TB HDD provides ample storage for your movies, music, and files, while the 128GB SSD ensures lightning-fast boot times and swift application launches. It's the perfect synergy of speed and storage.

🚀 Upgraded RAM for Seamless Multitasking:
Experience smooth multitasking and efficient performance with the upgraded 16GB of RAM. Run multiple applications simultaneously, switch between tasks effortlessly, and enjoy a seamless computing experience.

🌟 Excellent Condition:
This iMac is not just a powerhouse; it's also meticulously maintained and in excellent condition. The sleek aluminum body complements any workspace, and the entire system has been thoroughly cleaned and tested to ensure optimal performance.

🔧 Tech Specs:

Processor: Core i7
RAM: 16GB
Storage: 3TB HDD + 128GB SSD
Display: 27-inch

🔒 Secure Your Deal:
Don't miss the chance to own this high-performance iMac. Upgrade your computing experience today! Contact me now to secure your deal and take the first step towards a faster, more efficient, and enjoyable computing journey.",https://images.craigslist.org/00909_lNoU5rManXT_0CI0t2_600x450.jpg
Color Laser Printer,https://chicago.craigslist.org/wcl/sys/d/chicago-color-laser-printer/7691514350.html,"The MFC-9130cw is a fast, reliable Digital Color All-in-One (Print/Copy/Scan/Fax) for small businesses. It features wireless networking, a 3.7"" color touch screen display and prints high-impact color and crisp black documents at up to 19ppm. It's compact and offers versatile paper handling with a 250-sheet capacity letter/legal paper tray and a single-sheet manual feed slot. The optional high yield color toners (approx. 2,200 pgs. each^) can help lower your cost per page, and its top-loading design makes it easy to replace and install toner cartridges.

Product information:
Brand Brother
Model Name 9130CW
Model Number MFC9130CW
Included Components Fax / copier / printer / scanner, Toner Cartridges, & Drum Unit
Item Weight 49.6 Pounds",https://images.craigslist.org/01313_9brqkjOoNdR_0t20CI_600x450.jpg
Cyber Power 150 Watt AC/DC Cigarette Lighter Power Adapter,https://chicago.craigslist.org/chc/sys/d/summit-argo-cyber-power-150-watt-ac-dc/7686877848.html,"Cyber Power 150 Watt DC/AC Cigarette Lighter Power Adapter
Model CPS-15Bl

It is $20.00

To see all the items I have 'For Sale' on Craigslist....type/search
the lower case letters ' qwert ' on Craigslist home page

I have sold 100's of things on Craigslist over the years

Any questions please e-mail or text me at show contact info

Pick up in Summit,Illinois
which is at Interstate 55 and Harlem Ave.",https://images.craigslist.org/00909_ioJsQNNY5Ie_600x450.jpg
Macbook Air 2013 (MacOS Big Sur),https://chicago.craigslist.org/nwc/sys/d/palatine-macbook-air-2013-macos-big-sur/7681528054.html,"MacBook Air 13” (mid 2013)

Processor : 1.3 GHz Dual Core Intel Core i5
Memory : 4 GB 1600 MHz DDR3
Graphics: Intel HD Graphics 5000 1536MB

Hard Drive : 128GB SSD

Excellent condition.

If you see this is still available. Text me if interested. No trades, cash at pickup only",https://images.craigslist.org/00f0f_6FE5kJp3FgS_0t10CI_600x450.jpg
Dell 1100 Laser Printer,https://chicago.craigslist.org/nwc/sys/d/mount-prospect-dell-1100-laser-printer/7691488310.html,"847,,,39,3
37--33",https://images.craigslist.org/00303_6FsTQ0HPmL7_0lM0t2_600x450.jpg
MXQ Android TV Box,https://chicago.craigslist.org/sox/sys/d/lansing-mxq-android-tv-box/7691481404.html,"MXQ Android TV Box


Item specifics
Condition:
Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ... Read moreabout the condition
Playable Media Format:
MPEG-4
Processor:
Quad Core
Custom Bundle:
No
Color:
Black
Year Manufactured:
2016
MPN:
S905
Surround Sound Formats:
Dolby Digital, Dolby Surround, MPEG Audio
Brand:
MXQ
Audio/Video Outputs:
HDMI
Type:
TV Box
Maximum Resolution:
1080p (FHD)
Model:
MXQ
Connectivity:
Wi-Fi, Bluetooth
Operating System:
Android
Features:
Cloud Storage, Firmware Upgradeable, Memory Card Reader, Music, Picture Viewing, Sleep Timer, Video Games
Storage Capacity:
8 GB",https://images.craigslist.org/00U0U_alZsQySjWIFz_0pO0pO_600x450.jpg
"MacBook Pro (Retina, 15-inch, Mid 2014)",https://chicago.craigslist.org/chc/sys/d/chicago-macbook-pro-retina-15-inch-mid/7691453941.html,"MacBook Pro (Retina, 15-inch, Mid 2014)

This machine has been a power-house and I hate to part with it.
It is still in amazing condition, I bought the current Macbook Pro in December but have still been using my Macbook pro since 2015. I love that computer has all the USB ports and camera card readers, and that I don't need to buy adapting equipment as I do with the current models.

This computer runs perfectly and has no issues.

Further Specs are listed below.


Model Name: MacBook Pro
Model Identifier: MacBookPro11,3
Processor Name: Quad-Core Intel Core i7
Processor Speed: 2.5 GHz
Number of Processors: 1
Total Number of Cores: 4
L2 Cache (per Core): 256 KB
L3 Cache: 6 MB
Hyper-Threading Technology: Enabled
Memory: 16 GB
System Firmware Version: 433.120.6.0.0
SMC Version (system): 2.19f12


BANK 0/DIMM0:

Size: 8 GB
Type: DDR3
Speed: 1600 MHz
Status: OK
Manufacturer: 0x80AD
Part Number: 0x484D54343147533641465238412D50422020
Serial Number: -

BANK 1/DIMM0:

Size: 8 GB
Type: DDR3
Speed: 1600 MHz
Status: OK
Manufacturer: 0x80AD
Part Number: 0x484D54343147533641465238412D50422020
Serial Number: -

Intel Iris Pro:

Chipset Model: Intel Iris Pro
Type: GPU
Bus: Built-In
VRAM (Dynamic, Max): 1536 MB
Vendor: Intel
Device ID: 0x0d26
Revision ID: 0x0008
Automatic Graphics Switching: Supported
gMux Version: 4.0.8 [3.2.8]
Metal Family: Supported, Metal GPUFamily macOS 1

NVIDIA GeForce GT 750M:

Chipset Model: NVIDIA GeForce GT 750M
Type: GPU
Bus: PCIe
PCIe Lane Width: x8
VRAM (Total): 2 GB
Vendor: NVIDIA (0x10de)
Device ID: 0x0fe9
Revision ID: 0x00a2
ROM Revision: 3776
Automatic Graphics Switching: Supported
gMux Version: 4.0.8 [3.2.8]
Metal Family: Supported, Metal GPUFamily macOS 1
Displays:
Color LCD:
Display Type: Built-In Retina LCD
Resolution: 2880 x 1800 Retina
Framebuffer Depth: 24-Bit Color (ARGB8888)
Main Display: Yes
Mirror: Off
Online: Yes
Automatically Adjust Brightness: Yes
Connection Type: Internal",https://map3.craigslist.org/t09/13/2101/3042.png
"🚀Apple Mac Mini (2018) - UPGRADED i7, 64GB 1TB, 10GBe+ WARRANTY",https://chicago.craigslist.org/nwc/syd/d/arlington-heights-apple-mac-mini/7691474442.html,"🚀Powerhouse Mac Mini (2018) - Boosted Specs, Unbeatable Performance!🚀
🔗 techable.com/mac-mini-2018-64gb-ram-1tb-ssd-i7-3.2-ghz-space-grey-a1993/
🖥 Key Features:
1️⃣ High-Performance Core: Equipped with an Intel i7 3.2 GHz processor, this Mac Mini guarantees smooth performance whether you're editing 4K videos, developing applications, or just binge-watching your favorite series!
2️⃣ Massive Memory: Boasting 64GB RAM, say goodbye to lagging and hello to multitasking with several applications running seamlessly!
3️⃣ Ultra-Fast Storage: 1TB SSD not only provides ample storage for all your files and projects but also ensures lightning-fast boot-ups and data transfers.
4️⃣ Sleek Design: Wrapped in a stunning space grey finish, this Mac Mini complements any workspace with its compact and modern design.
5️⃣ Connectivity King: With a plethora of ports available, connecting your devices has never been easier.
🌟 Why Buy This Mac Mini?
✨ Future-Proof: With these boosted specs, this Mac Mini is ready to tackle both current and upcoming software requirements with ease.
✨ Cost-Effective: Get the power of a high-end workstation without burning a hole in your pocket.
✨ Eco-Friendly Choice: Buying a pre-owned tech item is a great way to reduce e-waste and promote sustainability.
✨ Certified & Trusted: Purchased through Techable, ensuring that the device has been thoroughly tested and is in excellent condition.
📦 In the Box: Mac Mini (2018), power cord, and all original accessories.
💼 Perfect For: Designers, developers, video editors, gamers, and anyone looking for a powerful yet compact desktop solution.
Don't miss this opportunity to own a beast of a machine! Limited stock available.
🛒 techable.com/mac-mini-2018-64gb-ram-1tb-ssd-i7-3.2-ghz-space-grey-a1993/
Techable.com is the safe way to buy Apple products!
www.techable.com
Looking to buy a Mac that won't break the bank?🏦
Visit Techable.com to see a full assortment of used, refurbished, and new Macbook Pros/ MacBook Airs and much more all at a price you can afford!
💻 MacBook Pro : https://techable.com/refurbished-macbook-pro/
💻 MacBook Air : https://techable.com/refurbished-macbook-air/
🖥️ Mac Mini : https://techable.com/refurbished-mac-mini/
🖥️ iMac : https://techable.com/imac-en/
🖥️ Mac Pro : https://techable.com/mac-pro-en/
Techable is proud to offer a wide selection of Refurbished Apple Laptops and more. Here are a few reasons to buy an Apple laptop from Techable.com
✅ Save $100s off Apple MSRP
✅ Buy a laptop from the Apple experts
✅ Live Tech Support with actual techs included with every purchase
✅ Eligible for up to a 3-Year Warranty from SafeTech Warranty
✅ Supports environmental sustainability
During these uncertain times, Techable is dedicated to ensuring safe and sanitary delivery for all of our customers. We take every precaution and disinfect each of our Mac devices every step of the way while preparing your MacBook.
In addition to our 100% online shopping and selling experience that allows all customers to buy and trade their Apple devices without ever leaving the safety of their home, we always ship within 24 hours of your purchase, assuring your Mac will get to you ASAP!
Every Techable product comes with 30-days to test it out and make sure it’s perfect for you.
Got questions? We have answers! Techable technicians are available M-F 9-5 CST to answer any questions you may have.
Call Today! (800) 311-5990
🍎 Apple Devices at a fraction of retail:
⚙Every Apple product we sell is professionally inspected and refurbished by our Techable trained technicians ensuring you get a device you love at a fraction of the cost.
Buying refurbished and used devices not only saves you 💰 it also helps the planet and reduces your carbon footprint👣
🛡SafeTech: Protection Made Simple!
All of our Macs come standard with a 90-Day Upgradeable SafeTech Warranty.
https://SafeTechWarranty.com",https://images.craigslist.org/00C0C_6GqdgsGWgwa_0CI0t2_600x450.jpg
